Date : 2021-06-23 22:17:38
Directory : /home/arjun/repos/nxtp
Total : 76 files,  5407 codes, 505 comments, 751 blanks, all 6663 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| modules/contracts/test                                                                                       |          5 |        597 |         26 |        145 |        768 |
| modules/contracts/test/lib                                                                                   |          3 |        365 |          9 |         86 |        460 |
| modules/documentation                                                                                        |          1 |          0 |          0 |          2 |          2 |
| modules/documentation/assets                                                                                 |          1 |          0 |          0 |          2 |          2 |
| modules/router                                                                                               |         15 |      1,328 |        161 |        225 |      1,714 |
| modules/router/path                                                                                          |          1 |        472 |         16 |         77 |        565 |
| modules/router/path/to                                                                                       |          1 |        472 |         16 |         77 |        565 |
| modules/router/src                                                                                           |          8 |        760 |        145 |        141 |      1,046 |
| modules/router/src/services                                                                                  |          1 |          8 |          0 |          2 |         10 |
| modules/router/test                                                                                          |          1 |          9 |          0 |          2 |         11 |
| modules/subgraph                                                                                             |          6 |        624 |         11 |         23 |        658 |
| modules/subgraph/abis                                                                                        |          1 |        447 |          0 |          1 |        448 |
| modules/subgraph/config                                                                                      |          1 |          4 |          0 |          1 |          5 |
| modules/subgraph/src                                                                                         |          1 |         70 |         11 |         14 |         95 |
| modules/utils                                                                                                |         14 |        551 |         26 |         74 |        651 |
| modules/utils/src                                                                                            |         10 |        469 |         26 |         70 |        565 |
| modules/utils/test                                                                                           |          1 |          0 |          0 |          1 |          1 |
| types                                                                                                        |          1 |          3 |          3 |          1 |          7 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/arjun/repos/nxtp/.eslintrc.js                                                                          | JavaScript |         35 |          0 |          1 |         36 |
| /home/arjun/repos/nxtp/.prettierrc                                                                           | JSON       |          7 |          0 |          0 |          7 |
| /home/arjun/repos/nxtp/README.md                                                                             | Markdown   |         46 |          0 |         28 |         74 |
| /home/arjun/repos/nxtp/lerna.json                                                                            | JSON       |         10 |          6 |          0 |         16 |
| /home/arjun/repos/nxtp/modules/chainservice/README.md                                                        | Markdown   |         32 |          0 |         18 |         50 |
| /home/arjun/repos/nxtp/modules/chainservice/package.json                                                     | JSON       |         49 |          0 |          1 |         50 |
| /home/arjun/repos/nxtp/modules/chainservice/src/chainservice.ts                                              | TypeScript |        250 |         58 |         29 |        337 |
| /home/arjun/repos/nxtp/modules/chainservice/src/config.ts                                                    | TypeScript |         28 |         19 |          7 |         54 |
| /home/arjun/repos/nxtp/modules/chainservice/src/error.ts                                                     | TypeScript |         36 |          1 |          4 |         41 |
| /home/arjun/repos/nxtp/modules/chainservice/src/index.ts                                                     | TypeScript |          2 |          0 |          1 |          3 |
| /home/arjun/repos/nxtp/modules/chainservice/tsconfig.build.json                                              | JSON       |         17 |          0 |          1 |         18 |
| /home/arjun/repos/nxtp/modules/chainservice/tsconfig.json                                                    | JSON       |         13 |          0 |          1 |         14 |
| /home/arjun/repos/nxtp/modules/contracts/README.md                                                           | Markdown   |         15 |          0 |          5 |         20 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/TransactionManager.sol                                    | Solidity   |        187 |         95 |         60 |        342 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/interfaces/IERC20Minimal.sol                              | Solidity   |         14 |         31 |          7 |         52 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/interfaces/ITransactionManager.sol                        | Solidity   |         74 |         12 |         17 |        103 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/lib/LibAsset.sol                                          | Solidity   |         42 |         10 |          9 |         61 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/lib/LibERC20.sol                                          | Solidity   |         61 |          6 |          7 |         74 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/lib/LibIterableMapping.sol                                | Solidity   |        112 |          8 |         17 |        137 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/lib/LibUtils.sol                                          | Solidity   |         13 |          6 |          2 |         21 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/test/LibAssetTest.sol                                     | Solidity   |         28 |          9 |         10 |         47 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/test/LibERC20Test.sol                                     | Solidity   |         30 |          6 |          9 |         45 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/test/LibIterableMappingTest.sol                           | Solidity   |         37 |          6 |         16 |         59 |
| /home/arjun/repos/nxtp/modules/contracts/contracts/test/TestERC20.sol                                        | Solidity   |         46 |          1 |         12 |         59 |
| /home/arjun/repos/nxtp/modules/contracts/deploy/deploy.ts                                                    | TypeScript |         20 |          0 |          5 |         25 |
| /home/arjun/repos/nxtp/modules/contracts/deployments/goerli/TransactionManager.json                          | JSON       |        819 |          0 |          0 |        819 |
| /home/arjun/repos/nxtp/modules/contracts/deployments/goerli/solcInputs/e816eb12372ad58aca6532f18c14ad03.json | JSON       |         68 |          0 |          0 |         68 |
| /home/arjun/repos/nxtp/modules/contracts/hardhat.config.ts                                                   | TypeScript |         76 |          0 |          6 |         82 |
| /home/arjun/repos/nxtp/modules/contracts/package.json                                                        | JSON       |         48 |          0 |          1 |         49 |
| /home/arjun/repos/nxtp/modules/contracts/scripts/sample.ts                                                   | TypeScript |         12 |          0 |          4 |         16 |
| /home/arjun/repos/nxtp/modules/contracts/test/lib/libAsset.spec.ts                                           | TypeScript |         82 |          2 |         22 |        106 |
| /home/arjun/repos/nxtp/modules/contracts/test/lib/libErc20.spec.ts                                           | TypeScript |         61 |          2 |         17 |         80 |
| /home/arjun/repos/nxtp/modules/contracts/test/lib/libIterableMapping.spec.ts                                 | TypeScript |        222 |          5 |         47 |        274 |
| /home/arjun/repos/nxtp/modules/contracts/test/transactionManager.spec.ts                                     | TypeScript |        221 |         17 |         57 |        295 |
| /home/arjun/repos/nxtp/modules/contracts/test/utils.ts                                                       | TypeScript |         11 |          0 |          2 |         13 |
| /home/arjun/repos/nxtp/modules/contracts/tsconfig.json                                                       | JSON       |         14 |          0 |          1 |         15 |
| /home/arjun/repos/nxtp/modules/documentation/assets/test.md                                                  | Markdown   |          0 |          0 |          2 |          2 |
| /home/arjun/repos/nxtp/modules/router/codegen.yml                                                            | YAML       |          8 |          0 |          1 |          9 |
| /home/arjun/repos/nxtp/modules/router/nodemon.json                                                           | JSON       |          5 |          0 |          1 |          6 |
| /home/arjun/repos/nxtp/modules/router/package.json                                                           | JSON       |         55 |          0 |          1 |         56 |
| /home/arjun/repos/nxtp/modules/router/path/to/file.ts                                                        | TypeScript |        472 |         16 |         77 |        565 |
| /home/arjun/repos/nxtp/modules/router/src/config.ts                                                          | TypeScript |         83 |          4 |         15 |        102 |
| /home/arjun/repos/nxtp/modules/router/src/graphqlsdk.ts                                                      | TypeScript |        472 |         16 |         77 |        565 |
| /home/arjun/repos/nxtp/modules/router/src/handler.ts                                                         | TypeScript |         51 |        104 |         23 |        178 |
| /home/arjun/repos/nxtp/modules/router/src/index.ts                                                           | TypeScript |         14 |          1 |          5 |         20 |
| /home/arjun/repos/nxtp/modules/router/src/listener.ts                                                        | TypeScript |         35 |         17 |          8 |         60 |
| /home/arjun/repos/nxtp/modules/router/src/router.ts                                                          | TypeScript |          1 |          0 |          1 |          2 |
| /home/arjun/repos/nxtp/modules/router/src/services/config.ts                                                 | TypeScript |          8 |          0 |          2 |         10 |
| /home/arjun/repos/nxtp/modules/router/src/transactionManagerListener.ts                                      | TypeScript |         96 |          3 |         10 |        109 |
| /home/arjun/repos/nxtp/modules/router/test/config.spec.ts                                                    | TypeScript |          9 |          0 |          2 |         11 |
| /home/arjun/repos/nxtp/modules/router/tsconfig.build.json                                                    | JSON       |          4 |          0 |          1 |          5 |
| /home/arjun/repos/nxtp/modules/router/tsconfig.json                                                          | JSON       |         15 |          0 |          1 |         16 |
| /home/arjun/repos/nxtp/modules/subgraph/abis/TransactionManager.json                                         | JSON       |        447 |          0 |          1 |        448 |
| /home/arjun/repos/nxtp/modules/subgraph/config/goerli.json                                                   | JSON       |          4 |          0 |          1 |          5 |
| /home/arjun/repos/nxtp/modules/subgraph/package.json                                                         | JSON       |         30 |          0 |          1 |         31 |
| /home/arjun/repos/nxtp/modules/subgraph/schema.graphql                                                       | graphql    |         38 |          0 |          5 |         43 |
| /home/arjun/repos/nxtp/modules/subgraph/src/mapping.ts                                                       | TypeScript |         70 |         11 |         14 |         95 |
| /home/arjun/repos/nxtp/modules/subgraph/subgraph.template.yaml                                               | YAML       |         35 |          0 |          1 |         36 |
| /home/arjun/repos/nxtp/modules/utils/package.json                                                            | JSON       |         51 |          0 |          1 |         52 |
| /home/arjun/repos/nxtp/modules/utils/src/delay.ts                                                            | TypeScript |          1 |          0 |          1 |          2 |
| /home/arjun/repos/nxtp/modules/utils/src/encode.ts                                                           | TypeScript |         33 |          0 |          5 |         38 |
| /home/arjun/repos/nxtp/modules/utils/src/env.ts                                                              | TypeScript |          4 |          0 |          1 |          5 |
| /home/arjun/repos/nxtp/modules/utils/src/error.ts                                                            | TypeScript |         39 |          1 |          7 |         47 |
| /home/arjun/repos/nxtp/modules/utils/src/expect.ts                                                           | TypeScript |          6 |          0 |          4 |         10 |
| /home/arjun/repos/nxtp/modules/utils/src/index.ts                                                            | TypeScript |          9 |          0 |          1 |         10 |
| /home/arjun/repos/nxtp/modules/utils/src/json.ts                                                             | TypeScript |         15 |          2 |          3 |         20 |
| /home/arjun/repos/nxtp/modules/utils/src/logger.ts                                                           | TypeScript |         20 |          0 |          2 |         22 |
| /home/arjun/repos/nxtp/modules/utils/src/messaging.ts                                                        | TypeScript |        327 |         23 |         41 |        391 |
| /home/arjun/repos/nxtp/modules/utils/src/util.ts                                                             | TypeScript |         15 |          0 |          5 |         20 |
| /home/arjun/repos/nxtp/modules/utils/test/sample.spec.ts                                                     | TypeScript |          0 |          0 |          1 |          1 |
| /home/arjun/repos/nxtp/modules/utils/tsconfig.build.json                                                     | JSON       |         17 |          0 |          1 |         18 |
| /home/arjun/repos/nxtp/modules/utils/tsconfig.json                                                           | JSON       |         14 |          0 |          1 |         15 |
| /home/arjun/repos/nxtp/package.json                                                                          | JSON       |         29 |          0 |          1 |         30 |
| /home/arjun/repos/nxtp/tsconfig.build.json                                                                   | JSON       |         17 |          0 |          1 |         18 |
| /home/arjun/repos/nxtp/tsconfig.json                                                                         | JSON       |         17 |          4 |          0 |         21 |
| /home/arjun/repos/nxtp/types/global.d.ts                                                                     | TypeScript |          3 |          3 |          1 |          7 |
| Total                                                                                                        |            |      5,407 |        505 |        751 |      6,663 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
